year,area,total_conc,total_fem,total_masc,prop_conc,prop_fem,prop_masc
2017,Social & Behavioral Sciences,55272,39767,15505,0.05511931948502648,0.06297408318843609,0.04176003533645041
2017,Total,1002770,631482,371288,1,1,1
2018,Arts & Humanities,20719,10774,9945,0.019690168980594933,0.016348070976180434,0.025291635830961844
2018,Business & Management,308025,181911,126114,0.2927295863819564,0.2760250547009429,0.32072693425700577
2018,Education,250581,187974,62607,0.23813804881154782,0.2852248277034101,0.15921904921759963
2018,Engineering,165086,58585,106501,0.15688842300933903,0.08889472230736316,0.27084811539801584
2018,Health & Medical,202563,152603,49960,0.19250444998389168,0.2315541744178636,0.12705581961939202
2018,Natural Sciences,15396,8325,7071,0.014631490015215002,0.012632048531344172,0.017982620106659748
2018,Other/Unknown,28259,14383,13876,0.026855759699919504,0.021824234717876662,0.035288762070430024
2018,Social & Behavioral Sciences,61622,44483,17139,0.05856207311753565,0.06749686664501896,0.04358706349993515
2018,Total,1052251,659038,393213,1,1,1
2019,Arts & Humanities,18622,9683,8939,0.018139542585844298,0.015082061178684186,0.0232437801630887
2019,Business & Management,283879,165915,117964,0.27652428362833714,0.2584261262482068,0.30673780995173905
2019,Education,254067,192031,62036,0.24748465074415765,0.299103923391914,0.1613101181560992
2019,Engineering,163477,57909,105568,0.1592416498392261,0.09019798417808764,0.2745049093027126
2019,Health & Medical,200603,148637,51966,0.19540579214628526,0.23151423395807924,0.1351254368447329
2019,Natural Sciences,14671,7943,6728,0.01429090480490397,0.012371869455983528,0.01749459144616409
2019,Other/Unknown,29884,15487,14397,0.029109767513444906,0.024122263913485695,0.03743603344982526
2019,Social & Behavioral Sciences,61394,44416,16978,0.05980340873780071,0.0691815376755589,0.04414732068563821
2019,Total,1026597,642021,384576,1,1,1
2020,Arts & Humanities,16212,8050,8162,0.016071184283309642,0.012723289784383703,0.02170375255275698
2020,Business & Management,288930,167519,121411,0.2864203845902205,0.2647692896136862,0.32284664312457456
2020,Education,243296,188808,54488,0.241182756685918,0.29841725436148053,0.14489023144996596
2020,Engineering,154586,54108,100478,0.153243282359962,0.08551947374576813,0.26718324540503746
2020,Health & Medical,208187,151756,56431,0.20637870974521244,0.23985534962968114,0.15005690520762424
2020,Natural Sciences,12326,6716,5610,0.012218937668151655,0.01061485890582869,0.014917673587474473
2020,Other/Unknown,28174,14782,13392,0.0279292836169483,0.023363437216491912,0.03561095983662355
2020,Social & Behavioral Sciences,57051,40959,16092,0.05655546105027747,0.06473704674267976,0.04279058883594282
2020,Total,1008762,632698,376064,1,1,1
2021,Arts & Humanities,17055,8476,8579,0.01630900959224129,0.01264359414599801,0.022855270378994146
2021,Business & Management,269689,156183,113506,0.25789272869668495,0.23297716664752327,0.30239075878751714
2021,Education,283701,221027,62674,0.2712918399488975,0.32970454026752033,0.16696948545670579
2021,Engineering,137208,46094,91114,0.13120648420593628,0.06875812040651631,0.2427363451814515
2021,Health & Medical,234619,172236,62383,0.22435670017719492,0.2569233224787769,0.16619423383293994
2021,Natural Sciences,12774,6848,5926,0.012215261713942554,0.010215117120315522,0.01578742653758239
2021,Other/Unknown,29907,15743,14164,0.028598859564653197,0.023483730844790784,0.03773424054645915
2021,Social & Behavioral Sciences,60788,43772,17016,0.058129116100449345,0.06529440808855887,0.045332239278349964
2021,Total,1045741,670379,375362,1,1,1
2022,Arts & Humanities,17858,8951,8907,0.01763951694314224,0.013782601063682362,0.024540976018338916
2022,Business & Management,255795,148669,107126,0.2526654852990855,0.22891805580790894,0.2951584817492506
2022,Education,258242,202200,56042,0.2550825475658494,0.31134420009793023,0.1544094956797743
2022,Engineering,128706,41706,87000,0.12713135108545554,0.06421820578281047,0.23970640098748017
2022,Health & Medical,238710,175354,63356,0.2357895111153256,0.27000717539056607,0.17456136483865278
2022,Natural Sciences,13541,7181,6360,0.01337533312392704,0.011057184475288017,0.017523364485981307
2022,Other/Unknown,34109,18104,16005,0.03369169466981962,0.027876238370785997,0.044097712043731266
2022,Social & Behavioral Sciences,65425,47277,18148,0.06462456019739507,0.07279633901102793,0.05000220419679069
2022,Total,1012386,649442,362944,1,1,1
2023,Arts & Humanities,20473,10255,10218,0.019938255974757017,0.01585328714160054,0.026892941458240668
2023,Business & Management,269732,156909,112823,0.2626867415905417,0.24256688757692824,0.2969409213293293
2023,Education,233479,178162,55317,0.22738065094174248,0.27542207154771675,0.14558982605651782
2023,Engineering,126376,38610,87766,0.12307512514364738,0.05968751014502163,0.23099294382696717
2023,Health & Medical,257228,186784,70444,0.2505093395142284,0.2887508908295188,0.18540285457861672
2023,Natural Sciences,14199,7320,6879,0.013828129565064958,0.011316046989421352,0.018104966166689915
2023,Other/Unknown,35358,19327,16031,0.03443446757951735,0.029877765049801427,0.04219228268908359
2023,Social & Behavioral Sciences,69975,49502,20473,0.06814728969050077,0.07652554071999122,0.05388326389455483
2023,Total,1026820,646869,379951,1,1,1
2024,Arts & Humanities,21936,11200,10736,0.022443147811087135,0.018184711204055192,0.02969839640830869
2024,Business & Management,233686,136837,96849,0.2390886870615294,0.22217333277047321,0.2679079725920537
2024,Education,206967,156714,50253,0.21175195901792812,0.2544463242528844,0.13901206359041884
2024,Engineering,121324,35657,85667,0.12412894169549306,0.05789395066098178,0.23697583132550118
2024,Health & Medical,263176,192420,70756,0.2692604790449794,0.3124198330253839,0.19572836589663653
2024,Natural Sciences,14409,7428,6981,0.014742127863327615,0.012060360252118032,0.019311149900000275
2024,Other/Unknown,38997,21091,17906,0.03989858840212277,0.03424408428613643,0.04953236643882036
2024,Social & Behavioral Sciences,76908,54555,22353,0.07868606910353253,0.08857740354796705,0.06183385384826045
2024,Total,977403,615902,361501,1,1,1
